"setNumber","setName","ageGroup","rating","themeGroup","theme","subtheme","pieces","minifigs","RRP","PPP","yearReleased","packaging","availability","instructions","setType"
"10532-1","My First Police Set","2 - 5",NA,"Pre-school","Duplo",NA,"39","2 ","$24.99, 24.99€ |","64.1c, 64.1c","2014","Box","Retail","Yes","Normal"
"10538-1","Fire and Rescue Team","2 - 5",NA,"Pre-school","Duplo","Disney Planes","30","3 (3 Unique to this set)","$29.99, 29.99€ |","100.0c, 100.0c","2014",NA,NA,"Yes","Normal"
"10539-1","Beach Racing","2 - 5",NA,"Pre-school","Duplo","Jake and the Never Land Pirates","37","1 ","$24.99, 24.99€ |","67.5c, 67.5c","2014","Box","Retail","Yes","Normal"
"10542-1","Sleeping Beauty's Fairy Tale","2 - 5",NA,"Pre-school","Duplo","Disney Princess","55","2 (2 Unique to this set)","$34.99, 34.99€ |","63.6c, 63.6c","2014","Box","Retail","Yes","Normal"
"10543-1","Superman Rescue","2 - 5",NA,"Pre-school","Duplo","Superman","19","1 ","$19.99, 19.99€ |","105.2c, 105.2c","2014","Box","Retail",NA,"Normal"
"10544-1","The Joker Challenge","2 - 5",NA,"Pre-school","Duplo","Batman","40","2 (1 Unique to this set)","$29.99, 29.99€ |","75.0c, 75.0c","2014","Box","Retail","Yes","Normal"
"10545-1","Batcave Adventure","2 - 5",NA,"Pre-school","Duplo","Batman","59","2 (1 Unique to this set)","$49.99, 49.99€ |","84.7c, 84.7c","2014","Box","Retail","Yes","Normal"
"10546-1","My First Shop","2 - 5",NA,"Pre-school","Duplo",NA,"39","2 ","$24.99, 24.99€ |","64.1c, 64.1c","2014","Box","Retail","Yes","Normal"
"10565-1","Creative Suitcase","2 - 5",NA,"Pre-school","Duplo",NA,"135",NA,"$59.99, 39.99€ |","44.4c, 29.6c","2014","Box","Retail","Yes","Normal"
"10566-1","Creative Picnic","1 - 5",NA,"Pre-school","Duplo",NA,"52",NA,"$24.99, 29.99€ |","48.1c, 57.7c","2014","Tub","Retail","Yes","Normal"
"10567-1","Toddler Build and Boat Fun","1 - 3",NA,"Pre-school","Duplo",NA,"18",NA,"$19.99, 19.99€ |","111.1c, 111.1c","2014","Box","Retail","Yes","Normal"
"10568-1","Knight Tournament","2 - 5",NA,"Pre-school","Duplo",NA,"16","1 ","$9.99, 9.99€ |","62.4c, 62.4c","2014","Box","Retail",NA,"Normal"
"10569-1","Treasure Attack","2 - 5",NA,"Pre-school","Duplo",NA,"46","3 ","$29.99, 29.99€ |","65.2c, 65.2c","2014","Box","Retail","Yes","Normal"
